de [mm],g [mm],Nn [],Nc [],Force1.Force_y [kNewton]
15,0.7,17,20,-39.24785754
15,0.7,17,22,-40.3100069
15,0.7,17,24,-41.28123692
15,0.7,17,26,-42.10804519
15,0.7,17,28,-42.906987
15,0.8,17,14,-30.17976552
15,0.8,17,16,-33.27857033
15,0.8,17,18,-35.75522093
15,0.8,17,20,-37.31922092
15,0.8,17,22,-38.48328642
15,0.8,17,24,-39.57519578
15,0.8,17,26,-40.36935025
15,0.8,17,28,-41.22241975
15,0.9,17,14,-27.05083669
15,0.9,17,16,-30.49464843
15,0.9,17,18,-33.14234798
15,0.9,17,20,-35.20554351
15,0.9,17,22,-36.64697052
15,0.9,17,24,-37.83626654
15,0.9,17,26,-38.69245522
15,0.9,17,28,-39.62942555
15,1,17,14,-23.89617981
15,1,17,16,-27.83635473
15,1,17,18,-30.67515814
15,1,17,20,-33.03506644
15,1,17,22,-34.77309951
15,1,17,24,-36.10683528
15,1,17,26,-37.0934672
15,1,17,28,-38.01230552
15,0.3,18,14,-45.33116256
15,0.3,18,16,-46.4038484
15,0.3,18,18,-47.33319142
15,0.3,18,20,-48.0997332
15,0.3,18,22,-48.84520176
15,0.3,18,24,-49.45158653
15,0.3,18,26,-50.06391187
15,0.3,18,28,-50.54779054
15,0.4,18,14,-42.8508266
15,0.4,18,16,-44.11479058
15,0.4,18,18,-45.18298327
15,0.4,18,20,-46.06985449
15,0.4,18,22,-46.85934581
15,0.4,18,24,-47.61575346
15,0.4,18,26,-48.20958449
15,0.4,18,28,-48.77100196
15,0.5,18,14,-40.35933213
15,0.5,18,16,-41.83648709
15,0.5,18,18,-43.06986283
15,0.5,18,20,-44.06512431
15,0.5,18,22,-44.91936787
15,0.5,18,24,-45.76627925
15,0.5,18,26,-46.40343378
15,0.5,18,28,-47.07298331
15,0.6,18,14,-37.75736251
15,0.6,18,16,-39.56489032
15,0.6,18,18,-41.00035873
15,0.6,18,20,-42.11530303
15,0.6,18,22,-43.04378831
15,0.6,18,24,-43.95500771
15,0.6,18,26,-44.63132323
15,0.6,18,28,-45.34869228
15,0.7,18,14,-34.76534847
15,0.7,18,16,-37.26039609
15,0.7,18,18,-38.89961674
15,0.7,18,20,-40.18293134
15,0.7,18,22,-41.21184034
15,0.7,18,24,-42.15515935
15,0.7,18,26,-42.99807248
15,0.7,18,28,-43.76968231
15,0.8,18,14,-31.74689455
15,0.8,18,16,-34.75386227
15,0.8,18,18,-36.78856297
15,0.8,18,20,-38.35002711
15,0.8,18,22,-39.44402089
15,0.8,18,24,-40.37177777
15,0.8,18,26,-41.29007586
15,0.8,18,28,-42.05064308
15,0.9,18,14,-28.8166124
15,0.9,18,16,-32.0888811
15,0.9,18,18,-34.59183806
15,0.9,18,20,-36.38601894
15,0.9,18,22,-37.69370412
15,0.9,18,24,-38.77265706
15,0.9,18,26,-39.67324279
15,0.9,18,28,-40.48439458
15,1,18,14,-25.78233333
